Algorithm,Data Type,Size,Time (ms)
Bubble Sort,random,100,0.2029
Bubble Sort,random,1000,26.5741
Bubble Sort,random,2000,113.4589
Bubble Sort,random,3000,261.3199
Bubble Sort,random,4000,465.2683
Bubble Sort,random,5000,747.5020
Bubble Sort,sorted,100,0.0023
Bubble Sort,sorted,1000,0.0312
Bubble Sort,sorted,2000,0.0639
Bubble Sort,sorted,3000,0.0961
Bubble Sort,sorted,4000,0.1327
Bubble Sort,sorted,5000,0.1760
Bubble Sort,reverse,100,0.2277
Bubble Sort,reverse,1000,31.9774
Bubble Sort,reverse,2000,138.7675
Bubble Sort,reverse,3000,321.3361
Bubble Sort,reverse,4000,578.2904
Bubble Sort,reverse,5000,931.4819
Selection Sort,random,100,0.0944
Selection Sort,random,1000,11.7389
Selection Sort,random,2000,49.2388
Selection Sort,random,3000,106.2509
Selection Sort,random,4000,187.4088
Selection Sort,random,5000,294.0857
Selection Sort,sorted,100,0.0825
Selection Sort,sorted,1000,11.4385
Selection Sort,sorted,2000,49.2151
Selection Sort,sorted,3000,105.6453
Selection Sort,sorted,4000,188.4127
Selection Sort,sorted,5000,293.5065
Selection Sort,reverse,100,0.0860
Selection Sort,reverse,1000,12.1192
Selection Sort,reverse,2000,48.8963
Selection Sort,reverse,3000,110.2733
Selection Sort,reverse,4000,196.6732
Selection Sort,reverse,5000,306.2334
Insertion Sort,random,100,0.0880
Insertion Sort,random,1000,11.7059
Insertion Sort,random,2000,47.0460
Insertion Sort,random,3000,110.2437
Insertion Sort,random,4000,200.0057
Insertion Sort,random,5000,306.6309
Insertion Sort,sorted,100,0.0038
Insertion Sort,sorted,1000,0.0557
Insertion Sort,sorted,2000,0.1127
Insertion Sort,sorted,3000,0.1723
Insertion Sort,sorted,4000,0.2287
Insertion Sort,sorted,5000,0.3120
Insertion Sort,reverse,100,0.1609
Insertion Sort,reverse,1000,20.8593
Insertion Sort,reverse,2000,88.5321
Insertion Sort,reverse,3000,208.4732
Insertion Sort,reverse,4000,376.9185
Insertion Sort,reverse,5000,589.4792
Merge Sort,random,100,0.0714
Merge Sort,random,1000,0.9368
Merge Sort,random,2000,1.9780
Merge Sort,random,3000,3.2277
Merge Sort,random,4000,4.3195
Merge Sort,random,5000,5.5415
Merge Sort,random,10000,12.5748
Merge Sort,random,15000,19.1756
Merge Sort,random,20000,26.1932
Merge Sort,sorted,100,0.0493
Merge Sort,sorted,1000,0.6213
Merge Sort,sorted,2000,1.3251
Merge Sort,sorted,3000,2.1091
Merge Sort,sorted,4000,2.8647
Merge Sort,sorted,5000,3.6178
Merge Sort,sorted,10000,7.5089
Merge Sort,sorted,15000,11.5528
Merge Sort,sorted,20000,15.8424
Merge Sort,reverse,100,0.0503
Merge Sort,reverse,1000,0.6353
Merge Sort,reverse,2000,1.3295
Merge Sort,reverse,3000,2.2999
Merge Sort,reverse,4000,2.8745
Merge Sort,reverse,5000,3.7883
Merge Sort,reverse,10000,7.8945
Merge Sort,reverse,15000,11.9516
Merge Sort,reverse,20000,16.3655
Quick Sort (Det),random,100,0.0377
Quick Sort (Det),random,1000,0.5975
Quick Sort (Det),random,2000,1.3824
Quick Sort (Det),random,3000,2.2083
Quick Sort (Det),random,4000,3.2575
Quick Sort (Det),random,5000,3.9780
Quick Sort (Det),random,10000,8.8649
Quick Sort (Det),random,15000,13.2998
Quick Sort (Det),random,20000,20.4032
Quick Sort (Det),sorted,100,0.1949
Quick Sort (Det),sorted,1000,22.7235
Quick Sort (Det),sorted,2000,98.1108
Quick Sort (Det),sorted,3000,224.0276
Quick Sort (Det),sorted,4000,407.2251
Quick Sort (Det),sorted,5000,637.4940
Quick Sort (Det),sorted,10000,2558.0981
Quick Sort (Det),sorted,15000,5733.4207
Quick Sort (Det),sorted,20000,10184.9976
Quick Sort (Det),reverse,100,0.1391
Quick Sort (Det),reverse,1000,17.6343
Quick Sort (Det),reverse,2000,71.9419
Quick Sort (Det),reverse,3000,163.0010
Quick Sort (Det),reverse,4000,289.6248
Quick Sort (Det),reverse,5000,450.7503
Quick Sort (Det),reverse,10000,1753.5571
Quick Sort (Det),reverse,15000,4004.4825
Quick Sort (Det),reverse,20000,7091.9966
Quick Sort (Rand),random,100,0.0577
Quick Sort (Rand),random,1000,0.8480
Quick Sort (Rand),random,2000,1.8634
Quick Sort (Rand),random,3000,2.9690
Quick Sort (Rand),random,4000,4.0501
Quick Sort (Rand),random,5000,4.9472
Quick Sort (Rand),random,10000,11.3027
